location,latitude,longitude
"Abu Dhabi, United Arab Emirates",24.466667,54.36666700000001
"Alabaster, AL",33.2442813,-86.8163773
"Albuquerque, NM",35.110703,-106.609991
"Albuquerque, NM",35.110703,-106.609991
"Alhambra, CA",34.095287,-118.1270146
"Amsterdam, Netherlands",52.3702157,4.895167900000001
"Amsterdam, Netherlands",52.3702157,4.895167900000001
"Amsterdam, Netherlands",52.3702157,4.895167900000001
"Amsterdam, Netherlands",52.3702157,4.895167900000001
"Amsterdam, Netherlands",52.3702157,4.895167900000001
"Anaheim, CA",33.8352932,-117.9145036
"Arlington, VA",38.8799697,-77.1067698
"Arlington, VA",38.8799697,-77.1067698
"Arlington, VA",38.8799697,-77.1067698
"Ashburn, VA",39.0437567,-77.4874416
"Asheville, NC",35.5950581,-82.5514869
"Asperup, Denmark",55.48309099999999,9.905057
"Astoria, Queens, NY",40.7623925,-73.9301037
"Astoria, Queens, NY",40.7623925,-73.9301037
"Astoria, Queens, NY",40.7623925,-73.9301037
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Atlanta, GA",33.7489954,-84.3879824
"Austin, TX",30.267153,-97.7430608
"Austin, TX",30.267153,-97.7430608
"Austin, TX",30.267153,-97.7430608
"Austin, TX",30.267153,-97.7430608
"Austin, TX",30.267153,-97.7430608
"Austin, TX",30.267153,-97.7430608
"Austin, TX",30.267153,-97.7430608
"Baltimore, MD",39.2903848,-76.6121893
"Baltimore, MD",39.2903848,-76.6121893
"Baltimore, MD",39.2903848,-76.6121893
"Bangkok, Thailand",13.7278956,100.5241235
"Barcelona, Spain",41.3850639,2.1734035
"Barrington, IL",42.1539141,-88.1361888
"Basel, Switzerland",47.5674422,7.597550699999999
"Baton Rouge, LA",30.4582829,-91.1403196
"Baunatal, Germany",51.2537283,9.4146
"Belgium, WV",39.323611,-80.11611099999999
"Bellevue, NE",41.158611,-95.934167
"Bellevue, WA",47.610377,-122.2006786
"Bellevue, WA",47.610377,-122.2006786
"Bellevue, WA",47.610377,-122.2006786
"Bend, OR",44.0581728,-121.3153096
"Benicia, CA",38.049365,-122.1585777
"Berkeley, CA",37.8715926,-122.272747
"Berkeley, CA",37.8715926,-122.272747
"Berkeley, CA",37.8715926,-122.272747
