Aaray, Switzerland;47.3934;8.04312
Adelaide, AU;-34.92862119999999;138.5999594
Alameda, CA;37.7652065;-122.2416355
Albany, NY;42.6525793;-73.7562317
Albuquerque, NM;35.110703;-106.609991
Alexandria, VA;38.8048355;-77.0469214
Almere, Netherlands;52.3507849;5.2647016
Altadena, CA;34.190162;-118.1313188
Ames, IA;42.034722;-93.61999999999999
Amsterdam, Netherlands;52.3702157;4.895167900000001
Anchorage, AK;61.2180556;-149.9002778
Andover, UK;51.2111975;-1.4919233
Ann Arbor, MI;42.2808256;-83.7430378
Aptos, CA;36.97717290000001;-121.8994016
Arlington, MA;42.4153925;-71.1564729
Arlington, VA;38.8799697;-77.1067698
Astoria, Queens, NY;40.7623925;-73.9301037
Athens, GA;33.95;-83.383333
Atlanta, GA;33.7489954;-84.3879824
Attleboro, MA;41.94454409999999;-71.2856082
Auburn, WA;47.30732279999999;-122.2284532
Austin, TX;30.267153;-97.7430608
Bad Oldesloe, Germany;53.8076269;10.3822557
Baltimore, MD;39.2903848;-76.6121893
Bangalore, India;12.9715987;77.5945627
Bar Harbor, ME;44.3876119;-68.2039123
Bath and North East Somerset, UK;51.36362930000001;-2.4399987
Beaumont, TX;30.080174;-94.1265562
Beaverton, OR;45.48706199999999;-122.8037102
Beijing, China;39.90403;116.407526
Belfast, UK;54.59728500000001;-5.93012
Bellevue, WA;47.610377;-122.2006786
Belmont, CA;37.5202145;-122.2758008
Bend, OR;44.0581728;-121.3153096
Benicia, CA;38.049365;-122.1585777
Bergenfield, NJ;40.9275987;-73.9973608
Berkeley, CA;37.8715926;-122.272747
Berlin, Germany;52.52000659999999;13.404954
Birdsboro, PA;40.2645371;-75.8040852
Birmingham, AL;33.5206608;-86.80248999999999
Berne, Switzerland;46.9479222;7.444608499999999
Birmingham, UK;52.48624299999999;-1.890401
Black Mountain, NC;35.6178951;-82.3212302
Bleialf, Germany;50.23852000000001;6.285084599999999
Boise, ID;43.6187102;-116.2146068
Boston, MA;42.3584308;-71.0597732
Boulder, CO;40.0149856;-105.2705456
Bothell, WA;47.7623204;-122.2054035
Brandon, FL;27.937801;-82.2859247
Brattleboro, VT;42.8509348;-72.5578619
Brentwood, TN;36.0331164;-86.78277720000001
Brighton and Hove City, UK;50.8279319;-0.168749
Brighton, MI;42.5294773;-83.7802214
Brighton, UK;50.82253000000001;-0.137163
Brisbane, AU;-27.4710107;153.0234489
Bristol, UK;51.454513;-2.58791
Bronx, NY;40.8447819;-73.8648268
Brooklyn, NY;40.6781784;-73.9441579
Broomfield, CO;39.9205411;-105.0866504
Brown Deer, WI;43.1633426;-87.9645321
Brunswick, ME;43.9140162;-69.9669961
Buenos Aires, Argentina;-34.6037232;-58.3815931
Burbank, CA;34.1808392;-118.3089661
Burlingame, CA;37.5778696;-122.34809
Burlington, MA;42.5047161;-71.1956205
Burlington, VT;44.4758825;-73.21207199999999
Burlington, WI;42.6780726;-88.27620259999999
Burnaby, Canada;49.2294908;-123.0025753
Calgary, Canada;51.0453246;-114.0581012
Camarillo, CA;34.2163937;-119.0376023
Cambridge, MA;42.3736158;-71.10973349999999
Cambridge, UK;52.205337;0.121817
Campbell, CA;37.2871651;-121.9499568
Canberra, AU;-35.282;149.128684
Cape Town, South Africa;-33.9248685;18.4240553
Capitola, CA;36.9752283;-121.953293
Cary, NC;35.79154;-78.7811169
